transaction_id,product_id,quantity,total_transaction_amount,transaction_date
1e4f0955-8f57-5676-9264-5595aea53a8c,6c96dbbd-7b8a-5e33-8afb-df125ebba8c3,67,2771308.91,2/2/2066
a7f48e7a-d267-500e-b3d9-eabdacc360ef,d1696480-f164-573e-a713-90db58d6c8b4,63,1963113.76,13/5/2121
6dfdbeda-a9dd-5f21-b3ec-9b5ea7fa94c1,6620725d-4440-527d-971e-f553cb4404c5,21,1096141.04,6/10/2096
cdbc7324-8f96-5b81-bed6-c7282d9181e8,1b11d876-3cf0-5207-ad71-128619b273a5,44,5789960.82,3/1/2050
37e47f3d-b87d-5a04-b1eb-161a22b6c822,99f057c4-840b-5600-9ac0-923357e86975,68,3304309.96,6/12/2096
d85b6ee4-77bf-5d65-b2cb-1269218d6f5b,7dce711d-a77e-51fb-9369-ddda959cde77,5,9684942.49,9/4/2094
e0ff3da4-abe1-5fe0-a6c4-07a17ea4aacd,4d99b16c-773a-5a77-bfd4-6aef9b42c4a3,55,685353.11,2/4/2094
24fc0005-f5c1-54ef-9592-92a3c596b086,b8212cc4-5d27-5db3-8e33-f60def768de5,32,5374908.21,11/10/2025
dae54f46-18ef-55f1-a90e-338e8d5650eb,5ba70f2b-3bbe-5ae3-a981-069a49f00e58,55,2037220.33,13/10/2063
3e2da6cf-882d-5cbd-8b11-68485f04951a,35bc06cb-2686-566c-9c3c-9689b2d44f7c,58,7278425.86,17/8/2110
ab0214de-382e-5d9e-b55a-7613afc4f014,4b0a0d0a-2dde-59e3-8124-10ca1e2e0f0e,98,3580210.09,12/11/2070
60721fc6-b20d-5734-980c-28d04585da4b,44bd4af2-2705-57f2-b342-cbd0805e03c5,55,5030038.62,26/11/2101
67230757-bb44-5a36-b7f8-0c3f99559a0d,08493f77-a69e-5d27-9661-d55e232375d7,11,6674005.31,28/12/2029
edd6869b-5e55-5e2a-a328-e378fbac0e62,293096f5-395f-525b-acf2-08397830d6c2,76,9415807.98,30/11/2080
b3b43b3b-7e75-5660-be67-ccf6da904949,5c374a44-6fcb-53db-b21c-444408471477,76,6026382.31,23/6/2082
4e07820a-71dc-57d3-8e5c-6a3f4bf724c0,0310d1ac-9d37-56e8-9340-f0a2ea475b73,20,7890726.64,19/8/2080
d5410668-f243-5c9d-b68c-ce15f27ccdb5,63a58996-1017-5977-8476-ba3a0eeb10f8,53,8348872.29,14/2/2038
539aa3a0-eaa3-5b71-81ee-3ef9d81eb05d,32802193-230f-54a4-8ea4-6ef601b9dce2,74,6969317.52,2/2/2103
04bcbb33-14fb-54da-a78b-842703aed3b0,09149eb5-5590-5294-bf18-c1f7d4b5dac5,59,1887233.38,25/7/2040
292600dc-9571-5888-9a32-4b300110cead,4a1e84aa-381c-516c-8385-3838b93f7e62,57,7351458.33,25/3/2035
cb584a02-cda9-5e69-a597-78b469afbef8,80f88e95-3b37-53cd-81f1-b5db7f129d63,16,6446222.49,21/11/2114
9fbaf45c-54de-5e3d-b401-addf22659deb,61dcf6a7-e8c5-57d9-8453-d576f22519ba,55,4028849.11,7/1/2092
554e7cf4-b9f0-514c-9750-5b067d5a2aab,0e22cc1c-1229-500e-b5a0-95349bd49a4e,85,1977648.78,21/3/2073
3b330ead-d01f-5bc6-aa48-fff4593b9c24,04356faa-699c-5010-a155-701ffe41bc47,80,345718.23,19/4/2046
d19543dd-374b-5250-b66b-b83ed675f9cb,d8145bb5-2099-5b10-ab1e-eeb1eeadbc00,53,4537948.96,8/7/2118
37482bbd-ace0-5a12-b5ba-0b41298afb84,a51f09ad-a3b9-5cba-b8d1-2f0a299533d7,14,7868476.39,9/9/2087
9ce07535-c7e6-5d7d-aff1-2ab26276a38a,17c2ade8-2f6a-5899-92e9-2fdbc346ed7e,50,4376203.1,31/7/2113
cdc16c53-1bd9-5367-96b9-b4a6a21a9f8c,acab4650-3cfc-57e9-9cbe-59c3697bcf0f,8,3020977.18,4/2/2055
503cffd7-6c2f-5c7a-912f-a086fdbdbcb4,85f0fef8-17a3-558d-83b3-0e7bda1325e2,75,4949801.82,9/3/2065
d2f5fd4b-c570-5fa5-b6d9-dc17e3e051f5,3aff0d27-2411-56e4-bdfc-ae07af2da449,82,4023921.84,7/1/2064
60853750-9676-56e2-8e52-cb56c0df1f4a,87763760-9479-5f3d-ae11-f782250f7b09,41,5041702.34,12/9/2077
9cbf8406-71d3-5bd9-9f8e-df0d303f0f71,670ed3c7-ab3a-5a8e-885d-98a5f305cfcf,88,7747942.92,7/2/2054
92cc2954-05ba-5ad3-9c77-859ff1ef264c,d60b91b5-02a0-5ff6-82db-78b473736a9d,33,2353447.52,12/7/2040
b9b0908d-3d0c-50b9-8853-407db4b99c32,8a33cbf4-1ccf-5dc0-bf09-20594f6a5372,4,4527617.18,29/5/2110
37be6752-bb53-51a0-aa67-059624377cbb,09ec6232-9baa-515f-aecf-3b5647ca1f71,76,9902014.8,5/5/2057
9f533e5e-27e2-5728-998d-3f867d316291,01f504fc-5fda-571f-9d15-7e996e349933,11,3711626.34,10/10/2036
e868eff0-2773-5b28-9957-4ca535d92392,c325600d-c558-5716-a147-957efcedbfc5,76,3556812.59,11/4/2040
8cc30b60-8efb-5bfc-8666-83cc923f7c45,de58e272-2460-5509-be33-d6b5a4447660,60,6372013.44,10/5/2055
21c0bd08-0847-54ea-940f-9bd29580e01f,11642f5f-9e89-5454-bb2f-3ce5e34f3306,20,3134975.23,2/5/2118
5cf68854-db83-5832-8513-a0e99cf0052a,a1d35caf-d152-5421-a4de-54177c6a5dfe,22,5919192.08,28/1/2081
c7224500-eb80-5ac3-a1ce-3c56a8f725f1,e2b76711-6c59-50ee-9148-b9e01f7def31,41,6745937.71,7/7/2057
58ca41df-30ba-5e5c-81f7-9c45f185c318,9e3c3b74-b6e1-5cd4-9082-2202704123bf,58,2950163.19,17/12/2076
dc4b6189-0ebf-5512-83cd-c09d7f20ba7f,1ea19b4d-aa84-52cb-9f24-6a518ec01c34,83,5865765.71,30/6/2050
5ffcdc65-4a54-5606-9902-9193eda77b3d,a295a37c-bdee-5af8-a86d-b8d338d1ee32,39,7873699.45,6/1/2080
8fdd650b-503b-542e-a5bf-3ace6f28c987,bdcf6c48-3c58-56a7-a3eb-4840437d38fc,34,9098732.86,3/4/2097
b2b9044f-d5bc-5de1-b15e-2ac161d3e2e4,ffe026d0-2782-5630-aa3f-a9a213d97ed8,84,1006985.46,29/7/2121
06594197-f5d1-50af-9d31-4dbe03136251,338d1609-0cbc-5ca9-a6cb-3110a086fb27,15,4598403.03,27/4/2105
a811a862-a3b8-533d-8bbe-a01abc8be133,00d901d2-d6ed-5844-80e2-fb119c09e842,54,9833984.52,26/2/2054
a0b49002-a911-55d2-843d-c1f751f24b1f,5e630e48-0aac-54a5-8636-d2b06d43eefe,77,8385086.04,25/5/2033
4729b2c6-7d1f-53fb-b9eb-35ded4388f15,fd737cd5-3b82-5cde-9b8e-a6d7300109c1,15,4363757.34,11/10/2094
1e1f6ccc-bb5a-5bf9-843d-58572fbd3976,7a40e28d-5041-53fe-9a5a-ee9d91f5fa5d,15,219004.2,5/5/2084
2efe4d64-1c85-5d24-b38e-574cac7cda46,aa1e9ef4-e3ce-5a47-a303-d36d4eda068f,35,1122715.92,12/11/2056
a41511dd-34c4-55de-aa4f-1a8d8513af5f,f681a9da-3085-5b28-83ee-2822f9e5b7bb,47,5025454.78,5/1/2076
50801c8f-901e-520f-bbc5-979927b755dc,bdd51b99-2eea-5bc0-b2be-7a5400f02fc3,91,7163664.45,27/6/2080
676a6cab-2528-58b6-a652-648bd6768e99,5d53f48a-4b4f-5acc-b6e6-a886fe44cfc7,21,6339383.46,30/9/2082
8b263af5-86df-5238-932b-2cf3151eb467,f84e1768-3eae-5269-9207-079a98cdb9fc,75,1055680.86,14/9/2066
c31c0b21-12bd-5a33-a8d2-f201aa84368f,98096889-5fd8-554d-8e89-4c55cfc8ff41,65,5376164.23,1/9/2029
4f7e9f59-f7dd-5bfd-928b-f44f293c5c32,214940c8-05b1-5b16-883d-b9418f5a732a,90,5569126.81,16/11/2093
546c7c1b-626f-525a-ac85-c0be05d79825,16251da6-280f-5026-a599-19d6e22fedbf,98,6061006.18,3/4/2055
f29489d3-ecf7-5035-8e0f-678cdb99a330,b36e3df2-942c-5abd-bba9-b6d348f972de,47,3450280.46,9/2/2077
0ebd1482-3016-5d54-83da-3032559b20b2,710d5c55-7525-5bfa-877f-cff043346c50,3,4172612.41,25/7/2065
22c4da7c-f890-506f-bc2f-bbc0c4a26f5d,b843c2c1-adbc-5e75-ac63-6b3f067f3877,95,5470785.42,11/2/2124
3bd835fe-84e1-59da-a29b-2c8467d63f06,cd385b86-e0e8-576a-82d5-5a5d280d6fd5,28,8868803.08,1/5/2056
faa58fbf-1b04-5eb1-a151-9b3aa7b053d4,2c7e2ca2-90d0-50c9-9a78-7af31c324206,70,4232535.12,12/9/2079
1f2b4d2e-d6cd-5aa5-be88-f3d08d279791,b460d3ac-d232-5385-ab38-e866f315e8cc,49,6571229.54,18/8/2104
73c11c41-00b8-5470-94af-386496a779d2,90d0ba11-4440-5426-9d5f-bed8f69dca40,30,8628017.63,15/9/2117
9fdaf7e8-ca17-54ec-bd7b-8a4e1d84f0dc,466d7780-ab1d-5b2b-84d5-affd510e9b20,97,3284872.85,9/12/2065
1946b4a1-90b7-5a48-9fa6-55664f1cdd58,c65ee729-bb98-55f3-8761-7d414cd168cd,97,7499413.45,5/3/2090
a0c24ffa-56cb-5c99-ad20-52e4200bc4b4,9c242818-7036-5e55-8fd3-b3e1696c253a,19,6078442.37,10/1/2083
defe8b9e-ec06-5574-bf5d-8a3ea56782bc,2ddb00d9-749b-5095-844b-cb56d2958a7c,52,1263967.25,6/5/2027
9286b06d-cade-57ea-8fbe-26e86a0e7969,ec677b59-aee6-5747-8b35-8a9dffa1d65f,54,3529623.72,11/1/2107
4f6b9d5e-7b2c-509e-ba68-b41789cee3fa,ec83a33c-cf15-5e29-b09f-21069d91f4a4,19,794413.1,2/3/2050
eb664e64-2a08-56a0-a59c-d20a0f762868,59a0a073-13ed-546d-8a15-056bc42aafb3,52,315269.51,18/11/2101
0de3d8e0-d10d-507c-ba02-9a98c63a2247,dbde3108-5c8b-5be0-b091-e9fc51dd2712,52,4978641.85,2/6/2106
4e4b9c0f-b403-51ea-9e76-2accefd5c0e1,ee0f31fb-b752-5481-b93f-3028404bab51,62,3628421.56,14/7/2066
27b249d1-cf57-51f1-8394-4971d4d3c14d,0d283e6d-0cb8-5568-8f46-6c10077d5a6f,2,8744904.55,2/10/2114
ac692313-700a-5109-b5fa-00f60a629281,062130f7-36c4-5479-9290-688466c4dd90,4,2600708.3,26/10/2025
7babf7c1-2618-5f62-b8c7-65c2e6c452cb,186d9719-1c73-5c44-862e-fad88776497d,67,8988898.5,4/3/2082
072e9bf6-cad4-53a4-8f2d-eef95d80d50d,961c0c1c-3eb9-50d8-8790-d39b50f8361e,35,7562880.41,23/10/2099
2285c408-87d9-5dcd-a4a8-6e9724acc01f,cf2b6d5b-78e9-58b6-bddf-c68260a55451,37,7185379.17,12/1/2064
f1c1bbb3-1b2d-5d33-9e12-49f43c283341,84638a30-2bc8-52ef-8891-af97484e55cb,52,1152912.92,21/9/2124
8330fb75-d0e1-59ad-a48b-c16b8dd989aa,39f40116-1296-5ac6-b7cb-df6a2dd75498,16,7739577.35,1/5/2032
