transaction_id,product_id,quantity,total_transaction_amount,transaction_date
f120f534-9b7d-56df-bb88-d227e36df4cf,c97e1870-5406-58d6-993c-18b8e245a777,69,8046756.49,8/7/2067
39f3c3a8-66e6-5252-8c91-16d1d0a99589,a41266c0-bdf7-54d5-8e3a-f56d7c3607d2,53,5705134.14,22/2/2040
a6430e79-9862-5be8-b8af-15180cad89b3,1f916167-8366-50c9-b54d-cb6986b239d9,38,8018525.66,13/2/2059
de0cb4c9-6789-5c10-9896-07ed7a7d9fe0,4fa10c7c-a3e3-5d2a-a372-8aeb4947d4e2,40,1448410.47,5/11/2095
3599d201-d2b4-5cdc-af6d-e9940110b896,bd936d2a-caa9-5aaf-848a-bb5cfcd4dd8a,72,3983002.87,1/10/2097
0976eb94-2c05-5928-9053-a9e6e097a322,f93400e4-734f-5c31-a171-2a0789d7487b,57,6130019.97,15/2/2113
e9cb90e7-1b5b-5a83-9532-ac0736955495,bcd5a993-06eb-5808-aad1-201457b2ee82,61,8794505.26,16/7/2101
c8ecb03d-66b1-5fe1-b444-22e775888afa,7682bdbb-d393-5026-8ece-6be4e384c55d,37,8720473.66,16/11/2089
c4c579d9-b33f-5c09-9775-12c43ea25054,48e5b92a-d7f5-5f30-8b7c-d8294c0a9074,33,7366533.87,23/12/2102
c224b837-072d-5e0b-9c0c-565a8edacc38,bd081af4-935e-51d6-acd9-778023de2959,10,7566677.84,1/3/2042
e9fdd6e3-6cb8-5b85-8c9b-a293d8543545,56af7f77-03b2-5a50-9971-e8561c35234c,32,6046422.15,3/9/2062
2a710f6f-b192-5a58-87cd-5b88e9a7b33c,efb7b6c5-d3c9-53d8-9cc8-1d6a10e4ae07,48,2805771,23/2/2096
d9b2cf94-b91a-5d11-9be6-7184eaeccb99,6e1a0b61-2df3-531c-a2e8-76c6f2f9ef68,69,3468316.81,16/8/2073
6c74fa70-1b57-58c3-9996-c18083008be5,85886fbf-1db8-532f-9923-1ca3894d7718,98,520312.25,24/12/2064
202cbbeb-b6c6-5c0a-b305-952b02181e49,6eda3a80-1fe4-5a9a-b196-a46363708d1c,12,3747049.42,1/12/2044
c32b73d8-2dc1-5325-bcac-cfad28772287,24387e06-df5d-5a35-8cfd-52270b4ac9a2,23,2374588.65,10/4/2026
1852754c-d5ff-5c2f-8003-3f567dbb5a98,41ea0bb8-dd7e-5352-845a-d5e59f7649cc,44,5037477.23,3/9/2065
35148092-a500-5fa9-b369-6b3f7bb8df83,d0a1eb89-4ac6-5aa8-a9a8-aadfd979e434,8,5120532.42,23/11/2033
ca738e9b-928e-5469-82e0-f12b954cea22,4b8ca7f3-b062-50a4-b3f2-4b9a7b8acae4,70,6987101.14,20/9/2101
f5c06569-31af-5908-9510-84808cdcb1d8,cbab91ea-170a-5825-99d6-659090466834,39,2823482.91,10/2/2084
7d6bab48-abe8-561d-9e23-1b498d83313b,f5a8f149-dc2d-508a-baf4-dade19e9633b,51,8630236.81,15/6/2111
d453b3f6-371b-5e74-846f-09eb575210d8,0ec0564f-4989-529f-8970-8309a559d47b,74,8047620.3,19/1/2116
85595948-6684-5165-8359-afc357844847,ca5d1bc0-dd84-503a-acca-50e8359e8f23,63,531162.48,29/8/2099
