product_id,product_name,brand_name,cost_price,selling_price,category,expiry_date
14d2deaf-c8f5-56ae-83dc-751c970638cb,Eglawheraj,Administaff Inc.,98025.41,9506585.41,Home and Kitchen,5/17/2056
14d2deaf-c8f5-56ae-83dc-751c970638cb,Levmutevdi,Novellus Systems Inc,29333.83,1995479.26,Industrial and Scientific,6/21/2108
22008561-4721-54ec-bdbb-4835ee0d8156,Pahcaftoma,US Oncology Inc,31228.63,9479316.58,Industrial and Scientific,12/8/2067
25f323ee-6bdc-5ed4-83bf-2c1b82fbe2da,Icsuogolow,MPS Group Inc.,93222.35,7041840.3,Pet Supplies,9/28/2090
25f323ee-6bdc-5ed4-83bf-2c1b82fbe2da,Loofcobkuc,Maxim Integrated Products Inc.,22591.53,5734153.41,Books and Audible,6/23/2073
14d2deaf-c8f5-56ae-83dc-751c970638cb,Wuiwgolvi,General Cable Corporation,35293.9,7455808.53,Toys and Games,4/14/2094
22008561-4721-54ec-bdbb-4835ee0d8156,Teezrihip,Cox Communications Inc.,82687.21,9703667.24,Baby,3/27/2116
68624a59-0636-538c-9eff-17db055f1079,Ubifejnopi,Pantry Inc,26832.28,4602722.45,Clothing and Accessories,1/14/2058
c60b8793-a0db-5a18-9eea-6e485c2f193f,Booswotje,Golden West Financial Corporation,80038.74,6268325.47,Office Products,5/25/2080
09f7f668-e150-5a55-b9f9-118bde923b6c,Deustanej,3Com Corp,56979.75,3401272.79,Clothing and Accessories,1/4/2079
