product_id,product_name,brand_name,cost_price,selling_price,category,expiry_date
68624a59-0636-538c-9eff-17db055f1079,Dabtozogize,Diebold Incorporated,71762.08,8038517.04,Industrial and Scientific,6/14/2028
7989bc6c-1d8d-51bc-a893-976ab50e4c45,Kapinsulut,First Tennessee National Corp.,47778.31,9621754.76,Beauty and Personal Care,9/28/2033
d90601a2-2e33-58c6-a2b3-60b58dbb5b49,Kudutaace,Marathon Oil Corporation,92834.1,4990957.15,Toys and Games,1/22/2035
7989bc6c-1d8d-51bc-a893-976ab50e4c45,Vonnihriwap,Unocal Corporation,91554.64,5955653.52,Sports and Outdoors,11/17/2054
b379784a-f9a1-5b36-9dd1-086860aab8e0,Luizcehu,Berkshire Hathaway Inc.,14636.63,5330047.69,Industrial and Scientific,9/7/2047
7989bc6c-1d8d-51bc-a893-976ab50e4c45,Ribujpemep,Phar Mor Inc.,8105.63,8491992.55,Electronics,8/10/2028
b379784a-f9a1-5b36-9dd1-086860aab8e0,Kovhuhimhi,Raymond James Financial Inc.,85169.38,810633.5,Sports and Outdoors,12/9/2118
d90601a2-2e33-58c6-a2b3-60b58dbb5b49,Ruwucekpe,TMP Worldwide Inc,46082.14,8894701.57,Sports and Outdoors,1/5/2110
2491b9ec-8b21-57d0-ad9a-6ef37d51ed2d,Acsajawsa,Cendant Corp,85224.38,3112214.7,Musical Instruments,3/22/2089
09f7f668-e150-5a55-b9f9-118bde923b6c,Awfitsaceb,CBRL Group Inc.,6275.44,5274074.99,Pet Supplies,3/20/2042
