product_id,product_name,brand_name,cost_price,selling_price,category,expiry_date
25f323ee-6bdc-5ed4-83bf-2c1b82fbe2da,Gasaboderav,KLA-Tencor Corporation,63466.81,2835912.98,Baby,4/5/2058
d90601a2-2e33-58c6-a2b3-60b58dbb5b49,Naemaduhku,Quanta Services Inc.,52320.22,9578258.5,Books and Audible,1/1/2082
22008561-4721-54ec-bdbb-4835ee0d8156,Wewgehajufe,GATX Corporation,17702.64,7059993.8,Toys and Games,12/15/2088
09f7f668-e150-5a55-b9f9-118bde923b6c,Awgovedaw,Sunoco Inc.,30362.63,2328523.35,Beauty and Personal Care,9/2/2074
68624a59-0636-538c-9eff-17db055f1079,Fiipzemami,AGCO Corporation,42501.37,3200289.94,Electronics,4/1/2029
7989bc6c-1d8d-51bc-a893-976ab50e4c45,Utekuduphuc,Walter Industries Inc,70763.69,8002321.49,Home and Kitchen,11/11/2067
2491b9ec-8b21-57d0-ad9a-6ef37d51ed2d,Tukgebcabne,U.S. Industries Inc.,47248.51,581007.25,Health and Wellness,6/24/2082
14d2deaf-c8f5-56ae-83dc-751c970638cb,Vubnusijouk,Rite Aid Corp,60556.18,2014064.97,Electronics,2/22/2081
7989bc6c-1d8d-51bc-a893-976ab50e4c45,Iwosahmiun,Pinnacle West Capital Corp,49002.83,4662306.7,Craft and Hobbies,4/27/2093
7989bc6c-1d8d-51bc-a893-976ab50e4c45,Voopipovi,Energizer Holdings Inc.,8104.23,9174724.75,Grocery and Gourmet Food,3/12/2109
