product_id,product_name,brand_name,cost_price,selling_price,category,expiry_date
68624a59-0636-538c-9eff-17db055f1079,Tebiljilrac,Honeywell International Inc.,63797.48,4861049.68,Toys and Games,6/19/2118
22008561-4721-54ec-bdbb-4835ee0d8156,Copcimuvge,Apple Computer Inc.,99258.25,954733.91,Craft and Hobbies,5/16/2072
d90601a2-2e33-58c6-a2b3-60b58dbb5b49,Wirlutdolbi,Tech Data Corporation,13745.91,4094540.38,Office Products,1/20/2077
b379784a-f9a1-5b36-9dd1-086860aab8e0,Decoliohumu,TruServ Corporation,98615.74,4878685.31,Toys and Games,5/30/2034
d90601a2-2e33-58c6-a2b3-60b58dbb5b49,Civcotjita,Office Depot Inc.,36794.71,1283044.18,Health and Wellness,12/3/2069
7989bc6c-1d8d-51bc-a893-976ab50e4c45,Dokpidgubvit,SPX Corp,45012.02,2745764.45,Office Products,8/10/2043
09f7f668-e150-5a55-b9f9-118bde923b6c,Tozindukek,Perot Systems Corp,36234.1,8865541.49,Pet Supplies,4/12/2073
2491b9ec-8b21-57d0-ad9a-6ef37d51ed2d,Mavbonagzat,Toro Company,66608.63,7464231.72,Musical Instruments,6/26/2039
14d2deaf-c8f5-56ae-83dc-751c970638cb,Gigabsutwub,K-Mart Corp.,51140.48,4427181.37,Beauty and Personal Care,12/3/2081
25f323ee-6bdc-5ed4-83bf-2c1b82fbe2da,Pasicuci,Freeport McMoran Copper & Gold Inc.,7389.79,1902845.32,Grocery and Gourmet Food,6/22/2105
