product_id,product_name,brand_name,cost_price,selling_price,category,expiry_date
68624a59-0636-538c-9eff-17db055f1079,Fodezorat,Citigroup Inc,8315.34,9240000.77,Sports and Outdoors,10/31/2095
b379784a-f9a1-5b36-9dd1-086860aab8e0,Ezoormogog,Robert Half International Inc.,7268.12,5419176.38,Clothing and Accessories,2/7/2098
c60b8793-a0db-5a18-9eea-6e485c2f193f,Nutgavwelid,Petco Animal Supplies Inc.,82082.96,7814749.78,Baby,9/24/2089
14d2deaf-c8f5-56ae-83dc-751c970638cb,Nedoszewih,Hollywood Entertainment Corp.,28193.57,2258736.39,Baby,5/31/2043
7989bc6c-1d8d-51bc-a893-976ab50e4c45,Vukarwivvek,Longs Drug Stores Corporation,43472.16,6560383.46,Musical Instruments,1/6/2037
c60b8793-a0db-5a18-9eea-6e485c2f193f,Bobaztude,Eaton Corporation,32928.42,8670042.82,Grocery and Gourmet Food,1/27/2086
b379784a-f9a1-5b36-9dd1-086860aab8e0,Seskicigev,Constellation Brands Inc.,41035.77,4428412.9,Industrial and Scientific,8/30/2049
c60b8793-a0db-5a18-9eea-6e485c2f193f,Tegaczalag,Worthington Industries Inc,48444.39,882249.99,Clothing and Accessories,7/21/2108
25f323ee-6bdc-5ed4-83bf-2c1b82fbe2da,Cidaragaho,Paychex Inc,44854.42,4567226.43,Automotive,3/9/2077
09f7f668-e150-5a55-b9f9-118bde923b6c,Goljoodouvo,Molex Incorporated,74405.36,9659677.49,Automotive,2/14/2062
