product_id,product_name,brand_name,cost_price,selling_price,category,expiry_date
09f7f668-e150-5a55-b9f9-118bde923b6c,Liiwipeiku,Budget Group Inc.,24858,6308527.42,Musical Instruments,5/15/2111
25f323ee-6bdc-5ed4-83bf-2c1b82fbe2da,Tacpidtemubu,US Oncology Inc,62439.86,4733032.02,Toys and Games,4/2/2076
c60b8793-a0db-5a18-9eea-6e485c2f193f,Ehuvowdasu,Albertson's Inc.,61740.67,2782155.15,Office Products,8/24/2045
68624a59-0636-538c-9eff-17db055f1079,Pucudwecon,Beverly Enterprises Inc.,45968.43,5213294.58,Baby,9/13/2040
22008561-4721-54ec-bdbb-4835ee0d8156,Remwoggeja,SouthTrust Corp.,86035.7,7439538.85,Clothing and Accessories,12/4/2097
d90601a2-2e33-58c6-a2b3-60b58dbb5b49,Tulidduizu,Ford Motor Co,14036.09,3042225.95,Pet Supplies,7/10/2096
22008561-4721-54ec-bdbb-4835ee0d8156,Joruhedjij,Best Buy Co. Inc.,44401.87,3366564.02,Toys and Games,12/23/2062
2491b9ec-8b21-57d0-ad9a-6ef37d51ed2d,Derekevbo,Standard Pacific Corp.,22917.72,8914424.73,Pet Supplies,10/7/2100
c60b8793-a0db-5a18-9eea-6e485c2f193f,Sakserame,Revlon Inc,93545.49,3637168.89,Baby,6/19/2123
2491b9ec-8b21-57d0-ad9a-6ef37d51ed2d,Lotussevak,Fifth Third Bancorp,94868.53,2735179,Books and Audible,10/7/2123
