product_id,product_name,brand_name,cost_price,selling_price,category,expiry_date
68624a59-0636-538c-9eff-17db055f1079,Puccubacko,Providian Financial Corp.,95750.32,5499977.44,Sports and Outdoors,7/25/2055
d90601a2-2e33-58c6-a2b3-60b58dbb5b49,Zuzmuwevto,H&R Block Inc.,29756.08,7700700.22,Health and Wellness,2/24/2055
d90601a2-2e33-58c6-a2b3-60b58dbb5b49,Berueknin,Genzyme Corporation,33839.33,3842533.37,Industrial and Scientific,10/16/2073
c60b8793-a0db-5a18-9eea-6e485c2f193f,Almugubom,Tektronix Inc,35923.54,4773846.5,Home and Kitchen,9/10/2120
25f323ee-6bdc-5ed4-83bf-2c1b82fbe2da,Hergulkaftes,Amerada Hess Corporation,91223.33,464478.37,Musical Instruments,2/25/2115
68624a59-0636-538c-9eff-17db055f1079,Vevsitsili,PSS World Medical Inc,13530.96,2262086.47,Clothing and Accessories,6/18/2045
c60b8793-a0db-5a18-9eea-6e485c2f193f,Kujebucodi,Edison International,9241.71,2936660.93,Books and Audible,10/2/2024
c60b8793-a0db-5a18-9eea-6e485c2f193f,Gihwoshorec,IKON Office Solutions Inc.,14284.8,9634323.02,Sports and Outdoors,4/4/2030
14d2deaf-c8f5-56ae-83dc-751c970638cb,Sapiidni,Pep Boys Manny Moe & Jack,24367.21,8146459.46,Clothing and Accessories,7/16/2080
25f323ee-6bdc-5ed4-83bf-2c1b82fbe2da,Rerarivus,Hormel Foods Corp.,66813.53,5125285.96,Musical Instruments,11/28/2076
