product_id,product_name,brand_name,cost_price,selling_price,category,expiry_date
25f323ee-6bdc-5ed4-83bf-2c1b82fbe2da,Moplulzihu,OM Group Inc,97879.88,6102837.61,Beauty and Personal Care,12/9/2118
d90601a2-2e33-58c6-a2b3-60b58dbb5b49,Behaltajfeh,Quanta Services Inc.,58073.2,1838608.28,Health and Wellness,4/18/2074
d90601a2-2e33-58c6-a2b3-60b58dbb5b49,Wagowidwup,W.W. Grainger Inc,96291.89,9225343.97,Grocery and Gourmet Food,12/3/2103
d90601a2-2e33-58c6-a2b3-60b58dbb5b49,Patolsumih,Hubbell Inc.,12174.9,35778.09,Grocery and Gourmet Food,3/4/2100
09f7f668-e150-5a55-b9f9-118bde923b6c,Behafdeggag,Administaff Inc.,62529.79,3095108.08,Craft and Hobbies,8/20/2027
09f7f668-e150-5a55-b9f9-118bde923b6c,Uhowacedvih,PepsiCo Inc.,53929.2,4853233.55,Clothing and Accessories,5/12/2047
2491b9ec-8b21-57d0-ad9a-6ef37d51ed2d,Rukafadgif,Idacorp Inc.,52480.7,4550498.36,Electronics,4/7/2067
22008561-4721-54ec-bdbb-4835ee0d8156,Pamdailten,Frontier Oil Corp,39185.74,9792139.29,Books and Audible,11/14/2060
c60b8793-a0db-5a18-9eea-6e485c2f193f,Hobudaehedi,Flowers Foods Inc.,7524.32,34241.45,Pet Supplies,2/7/2064
14d2deaf-c8f5-56ae-83dc-751c970638cb,Beajulewe,Mohawk Industries Inc.,13200.62,9141728.43,Baby,2/9/2090
